Country name,Geographical region
Belgium,Western Europe
Finland,Northern Europe
France,Western Europe
Germany,Western Europe
Ireland,Western Europe
Israel,Western Asia
Italy,Southern Europe
Luxembourg,Western Europe
Malta,Southern Europe
Monaco,Western Europe
Norway,Northern Europe
Portugal,Southern Europe
Spain,Southern Europe
Sweden,Northern Europe
Switzerland,Western Europe
The Netherlands,Western Europe
Turkey,Western Asia
United Kingdom,Western Europe
Yugoslavia,Southeastern Europe
Austria,Western Europe
Greece,Southern Europe
Denmark,Northern Europe
Morocco,North Africa
Cyprus,Eastern Mediterranean
Iceland,Northern Europe
Bosnia & Herzegovina,Southeastern Europe
Croatia,Southeastern Europe
Slovenia,Southeastern Europe
Estonia,Northern Europe
Hungary,Central Europe
Lithuania,Northern Europe
Poland,Eastern Europe
Romania,Eastern Europe
Russia,Eastern Europe
Slovakia,Central Europe
F.Y.R. Macedonia,Southeastern Europe
Latvia,Northern Europe
